Donor,Recipient,Commodity,VWT,Water Saved
Saudi Arabia,Afghanistan,DRIED FRUITS DATES,525688.5031401874,
South Africa,Niger,MAIZE MEAL,11537.992487924384,24667.57237984099
United Arab Emirates,Niger,MILLET,0.0,
United Arab Emirates,Niger,WHEAT FLOUR,3961.132984736987,1344.9984944274815
United Arab Emirates,Niger,DRIED FRUITS DATES,180354.3057320353,33501.197635292134
United Arab Emirates,Niger,BEANS,0.0,4065.060631710188
United States of America,Afghanistan,WHEAT-SOYA BLEND,3967822.5045318245,2039672.4970126566
United States of America,Armenia,WHEAT FLOUR,3916625.2799474173,-1801167.6510483196
United States of America,Azerbaijan,VEGETABLE OIL,799340.7837811304,
United States of America,Benin,MAIZE MEAL,139791.58376735295,
United States of America,Benin,WHEAT-SOYA BLEND,524037.5385976382,
United States of America,Benin,VEGETABLE OIL,351639.6169403093,
United States of America,Côte d'Ivoire,MAIZE MEAL,2208810.055098879,0
United States of America,Côte d'Ivoire,CORN-SOYA BLEND,780874.4838896913,0
United States of America,Côte d'Ivoire,BEANS,259508.00413814685,45757.18398181758
