"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"1061",7721.5,3238.5,-12345,1000,53.412,68.4416666666667,4,54.6
"1062",375,2788,-3086,-500,56.892,65.6483333333333,4,-0.72
"1063",365.5,2529.5,-5658,0,53.16,69.0616666666667,4,2.95
"1064",-72.5,2373,10733,500,54.42,66.3783333333333,4,13.69
"1065",-277,2874.5,-95,500,57.704,64.1183333333333,4,-0.2
"1066",-290.5,1787.5,7782,0,53.942,66.6483333333333,4,16.79
"1067",74,2638,-150,4000,54.376,65.7416666666667,4,7.83
"1068",16373.5,3332,-110,-1500,55.436,67.7016666666667,4,2.5
"1069",-144,1785,6190,-500,52.96,65.0966666666667,4,3.91
"1070",1074.5,3841,80,500,55.362,66.7933333333333,4,0.32
"1071",1080,2195.5,183,-1000,54.56,67.9683333333333,4,-5.87
"1072",-562,2534,-6410,-2500,55.442,65.9033333333333,4,22.47
"1073",586,3040,278,0,54.432,66.475,4,1.63
"1074",2484.5,2339.5,-360,-3500,54.752,68.8966666666667,4,-0.890000000000001
"1075",1135.5,1911.5,960,-1000,54.442,68.3583333333333,4,-58.8200000000002
"1076",-154,2697,73,0,55.952,64.795,4,-19.16
"1077",3580,3554,-65,0,57.742,69.6433333333333,4,7.26000000000022
"1078",356.5,2456,-5605,3500,53.852,68.6466666666667,4,18.41
"1079",12870.5,3694,-6582,-2000,55.412,68.705,4,8.52
"1080",2057,3279.5,-426,-500,58.794,69.71,4,17.41
"1081",382,2485.5,18,0,55.958,64.3833333333333,4,0.539999999999999
"1082",10644,3168,-313,-500,57.172,67.7783333333333,4,-3.83
"1083",632.5,1695.5,2247,-1000,52.926,65.48,4,-0.700000000000003
"1084",-458.5,2325,-1536,500,54.504,64.81,4,1.94
"1085",1195.5,2815.5,4533,0,53.716,66.235,4,9.23
"1086",-6132,2943,-1,-200,57.248,68.8833333333333,4,107.49
"1087",2529.5,3245.5,-2035,-500,55.902,65.1633333333333,4,123.72
"1088",591,3218.5,48,-500,56.908,69.86,4,-12.07
"1089",111.5,3339,3700,1500,52.746,67.7083333333333,4,3.54999999999995
"1090",-2609.5,3037,1074,-3000,54.43,67.1533333333333,4,-45.96
"1092",176,2344,-7495,-1000,55.588,65.505,4,16.53
"1093",406.5,3330,26,-1500,52.074,66.0966666666667,4,1.24
"1094",299,3103,-33,0,56.404,68.9983333333333,4,-24.17
"1096",325.5,2559.5,-77,1000,56.438,66.5616666666667,4,-5.14
"1099",3684.5,2185.5,-1002,-500,53.69,68.0766666666667,4,14.81
"1100",2302.5,2814.5,668,-1000,55.214,68.6383333333333,4,14.57
"1102",23380,4454.5,-700,-500,57.596,67.5683333333333,4,1.61
"1103",7439.5,3155.5,568,-4000,57.712,67.12,4,0.68
"1104",-242.5,2363,9392,-1000,54.054,66.0066666666667,4,5.39
"1106",1056.5,2958,8,500,56.06,64.45,4,0.54
"1107",1876,2724.5,-6650,-2000,55.186,69.0433333333333,4,-36.59
"1108",-4715,2811,-5,-2500,55.422,66.72,4,-1.26
"1109",370.5,2311.5,494,-1000,57.792,66.67,4,3.99
"1110",-79,3006,170,-1000,58.836,64.6666666666667,4,-0.199999999999999
"1112",110.5,2345.5,-6530,-1500,53.562,64.9933333333333,4,6.54
"1113",1098,4702.5,-151,-1000,53.076,67.1766666666667,4,2.91
"1305",-508,3154.5,21,-800,54.06,66.255,4,-2.21
"1308",590,3048.5,302,-2500,52.87,63.285,4,-0.81
"1310",-621,2599.5,-8456,-500,48.782,63.53,4,-186.6
"1312",766,3751.5,5577,-3700,52.59,63.3716666666667,4,-1.86
"1318",-521.5,2680.5,-2954,400,48.834,63.0233333333333,4,14.54
"1319",582.5,2296.5,475,-5000,53.574,65.3316666666667,4,-0.16
"1320",1440,3329.5,-34,3000,52.444,65.255,4,-0.81
"1321",19644.5,3979.5,4734,-1700,51.72,62.2233333333333,4,15.26
"1322",2145,2697.5,-348,0,55.784,66.045,4,11.61
"1324",1235.5,3168.5,152,-800,59.768,66.575,4,0.37
"1325",1539.5,2493,253,-1100,55.734,66.1133333333333,4,5.68
"1326",854,2330.5,2305,-3700,54.078,63.1166666666667,4,-4.56
"1327",5603.5,3784,66,-200,59.23,67.2166666666667,4,-1.23
"1328",12118,3795,-112,-500,60.956,67.0566666666667,4,75.81
"1329",-1820.5,2781.5,68,-5700,52.802,65.055,4,-1.40000000000001
"1330",2.5,2357,-8525,-3400,52.96,64.17,4,0.339999999999996
"1331",-464,1862.5,8519,-1300,53.958,64.79,4,-21.81
"1332",182.5,2084.5,-245,300,52.83,65.0366666666667,4,-20.6
"1334",8088.5,3261,12,-700,63.522,67.135,4,2.36
"1337",-44.5,2335.5,96,-2700,54.296,65.4316666666667,4,0.0900000000000003
"1338",1463.5,2578.5,169,-3800,52.644,65.405,4,2.27
"1341",4323,4115,159,-3300,56.278,66.0383333333333,4,8.21
"1342",1303,2688.5,140,-200,49.006,63.9883333333333,4,-2.83
"1346",303,1775,19952,300,50.666,64.075,4,13.85
"1347",1444,2413.5,-12,-4200,55.258,65.35,4,-8.79
"1348",1139,2703,-402,-7800,50.514,63.3266666666667,4,26.68
"1350",25.5,1905.5,-71,-3000,55.53,66.27,4,-0.16
"1352",716,2546.5,67,-7200,53.99,62.7983333333333,4,0.990000000000002
"1354",1942,3357.5,65,-7700,52.472,63.3666666666667,4,-0.02
"1356",-28,2682,2168,-5700,50.272,63.645,4,27.13
"1357",2263.5,2916,614,-6500,51.048,63.1566666666667,4,-2.08
"1358",2139,2769,17432,-900,52.2,62.56,4,2.37
"1359",4953.5,2871,783,-5700,58.036,66.6716666666667,4,1.94
"1360",636.5,2709.5,-27,-1000,55.814,66.0666666666667,4,-2.06
