,Geo_FIPS,Geo_QName,population_2020,population_2010,population_2000,population_1990,population_1980,pop_changes
306,12037,"Franklin County, Florida",11914,11470,11057,8967,7661,4253
307,12039,"Gadsden County, Florida",45787,46031,45087,41105,41565,4222
308,12041,"Gilchrist County, Florida",18245,16683,14437,9667,5767,12478
309,12043,"Glades County, Florida",13777,12617,10576,7591,5992,7785
310,12045,"Gulf County, Florida",15073,15879,13332,11504,10658,4415
311,12047,"Hamilton County, Florida",14397,14696,13327,10930,8761,5636
312,12049,"Hardee County, Florida",27027,27521,26938,19499,19379,7648
313,12051,"Hendry County, Florida",41472,39030,36210,25773,18599,22873
314,12053,"Hernando County, Florida",190700,170337,130802,101115,44469,146231
315,12055,"Highlands County, Florida",104574,98807,87366,68432,47526,57048
316,12057,"Hillsborough County, Florida",1451358,1200236,998948,834054,646960,804398
317,12059,"Holmes County, Florida",19530,19992,18564,15778,14723,4807
318,12061,"Indian River County, Florida",156964,135518,112947,90208,59896,97068
319,12063,"Jackson County, Florida",47409,49334,46755,41375,39154,8255
320,12065,"Jefferson County, Florida",14278,14583,12902,11296,10703,3575
321,12067,"Lafayette County, Florida",8576,8506,7022,5578,4035,4541
322,12069,"Lake County, Florida",356115,291671,210528,152104,104870,251245
323,12071,"Lee County, Florida",756570,606165,440888,335113,205266,551304
324,12073,"Leon County, Florida",291863,270409,239452,192493,148655,143208
325,12075,"Levy County, Florida",40979,40415,34450,25923,19870,21109
326,12077,"Liberty County, Florida",8333,8230,7021,5569,4260,4073
327,12079,"Madison County, Florida",18557,19300,18733,16569,14894,3663
328,12081,"Manatee County, Florida",393847,318619,264002,211707,148442,245405
329,12083,"Marion County, Florida",360210,326833,258916,194833,122488,237722
330,12085,"Martin County, Florida",160420,144322,126731,100900,64014,96406
331,12087,"Monroe County, Florida",75137,73065,79589,78024,63188,11949
332,12089,"Nassau County, Florida",85762,71099,57663,43941,32894,52868
333,12091,"Okaloosa County, Florida",207430,182076,170498,143776,109920,97510
334,12093,"Okeechobee County, Florida",41611,39883,35910,29627,20264,21347
335,12095,"Orange County, Florida",1373784,1116094,896344,677491,471016,902768
336,12097,"Osceola County, Florida",363666,258531,172493,107728,49287,314379
337,12099,"Palm Beach County, Florida",1482057,1299356,1131184,863518,576863,905194
338,12101,"Pasco County, Florida",539885,456514,344765,281131,193643,346242
339,12103,"Pinellas County, Florida",970985,918263,921482,851659,728531,242454
340,12105,"Polk County, Florida",705735,590116,483924,405382,321652,384083
341,12107,"Putnam County, Florida",73784,74715,70423,65070,50549,23235
342,12109,"St. Johns County, Florida",255410,180624,123135,83829,51303,204107
343,12111,"St. Lucie County, Florida",320914,269659,192695,150171,87182,233732
344,12113,"Santa Rosa County, Florida",179587,147838,117743,81608,55988,123599
345,12115,"Sarasota County, Florida",427766,376200,325957,277776,202251,225515
346,12117,"Seminole County, Florida",466695,417330,365196,287529,179752,286943
347,12119,"Sumter County, Florida",129938,85891,53345,31577,24272,105666
348,12121,"Suwannee County, Florida",44290,40675,34844,26780,22287,22003
349,12123,"Taylor County, Florida",21709,22000,19256,17111,16532,5177
350,12125,"Union County, Florida",15282,15375,13442,10252,10166,5116
351,12127,"Volusia County, Florida",546107,496053,443343,370712,258762,287345
352,12129,"Wakulla County, Florida",32855,29368,22863,14202,10887,21968
353,12131,"Walton County, Florida",71049,53366,40601,27760,21300,49749
354,12133,"Washington County, Florida",25094,24125,20973,16919,14509,10585
355,13001,"Appling County, Georgia",18428,18050,17419,15744,15565,2863
356,13003,"Atkinson County, Georgia",8311,8332,7609,6213,6141,2170
357,13005,"Bacon County, Georgia",11140,10969,10103,9566,9379,1761
358,13007,"Baker County, Georgia",3090,3657,4074,3615,3808,-718
359,13009,"Baldwin County, Georgia",45072,46905,44700,39530,34686,10386
360,13011,"Banks County, Georgia",18900,17840,14422,10308,8702,10198
361,13013,"Barrow County, Georgia",81294,66359,46144,29721,21354,59940
362,13015,"Bartow County, Georgia",106456,97423,76019,55911,40760,65696
363,13017,"Ben Hill County, Georgia",16889,17631,17484,16245,16000,889
364,13019,"Berrien County, Georgia",19206,18708,16235,14153,13525,5681
365,13021,"Bibb County, Georgia",153026,154810,153887,149967,150256,2770
366,13023,"Bleckley County, Georgia",12870,12937,11666,10430,10767,2103
367,13025,"Brantley County, Georgia",18924,17650,14629,11077,8701,10223
368,13027,"Brooks County, Georgia",15548,16338,16450,15398,15255,293
369,13029,"Bryan County, Georgia",38321,29039,23417,15438,10175,28146
370,13031,"Bulloch County, Georgia",77719,67298,55983,43125,35785,41934
371,13033,"Burke County, Georgia",22567,23083,22243,20579,19349,3218
372,13035,"Butts County, Georgia",24463,23401,19522,15326,13665,10798
373,13037,"Calhoun County, Georgia",6301,6488,6320,5013,5717,584
374,13039,"Camden County, Georgia",53960,49293,43664,30167,13371,40589
375,13043,"Candler County, Georgia",10834,10715,9577,7744,7518,3316
376,13045,"Carroll County, Georgia",118692,109227,87268,71422,56346,62346
377,13047,"Catoosa County, Georgia",67181,62951,53282,42464,36991,30190
378,13049,"Charlton County, Georgia",13032,12310,10282,8496,7343,5689
379,13051,"Chatham County, Georgia",289649,256428,232048,216935,202226,87423
380,13053,"Chattahoochee County, Georgia",10470,11702,14882,16934,21732,-11262
381,13055,"Chattooga County, Georgia",24826,25985,25470,22242,21856,2970
382,13057,"Cherokee County, Georgia",253780,206283,141903,90204,51699,202081
383,13059,"Clarke County, Georgia",126952,115070,101489,87594,74498,52454
384,13061,"Clay County, Georgia",2931,2981,3357,3364,3553,-622
385,13063,"Clayton County, Georgia",287560,260156,236517,182052,150357,137203
386,13065,"Clinch County, Georgia",6648,6841,6878,6160,6660,-12
387,13067,"Cobb County, Georgia",756653,677402,607751,447745,297718,458935
388,13069,"Coffee County, Georgia",43070,41647,37413,29592,26894,16176
389,13071,"Colquitt County, Georgia",45510,44712,42053,36645,35376,10134
390,13073,"Columbia County, Georgia",154257,117858,89288,66031,40118,114139
391,13075,"Cook County, Georgia",17217,16976,15771,13456,13490,3727
